game_id;title;cycle;release_date;depiction ;vote_average;vote_count;country;producer;genres
11;Silent Hill 3;Silent Hill;23.05.2003;Grê rozpoczyna krótka scena z wprowadzon¹ w ruch karuzel¹ oraz zbli¿eniami na mechanicznego konia, trzepi¹cego w konwulsjach zakrwawionym ³bem i wydaj¹cego potworne dŸwiêki. W kolejnej scenie oczom gracza ukazuje siê okryty rdz¹ i usiany trupami Lakeside Amusement Park. M³oda dziewczyna – siedemnastoletnia Heather Mason – wkracza na teren obcej jej placówki. W rêce trzyma nó¿. Przeszukuj¹c uwa¿nie teren, natrafia po chwili na grupê demonicznych istot, które natychmiast zaczynaj¹ j¹ atakowaæ. Dziewczyna ucieka, chroni¹c siê za odgrodzonym terenem jednej z atrakcji Weso³ego Miasteczka. Wskakuje na tory kolejki i zaczyna iœæ po nich w bli¿ej nieokreœlonym kierunku, nied³ugo póŸniej zostaje jednak potr¹cona przez nadje¿d¿aj¹cy wagonik i upada w ciemn¹ otch³añ. Heather budzi siê w barze Happy Burger na terenie galerii handlowej. Œcigaj¹ce j¹ potworne kreatury okaza³y siê jedynie koszmarem. Jednak czy na pewno…? ;8.4;1961;Japonia;Konami;survival horror, przygodowa, akcja
12;Silent Hill 2 (2001);Silent Hill;28.09.2001;Akcja rozpoczyna siê na tarasie widokowym, przy którym g³ówny bohater – James Sunderland – zaparkowa³ swój samochód. Mê¿czyzna przygl¹da siê swemu odbiciu w lustrze, intensywnie nad czymœ rozmyœlaj¹c. Po chwili wzdycha ciê¿ko i odchodzi. Spogl¹daj¹c na osnute mg³¹ Toluca Lake, wspomina list, który niedawno otrzyma³ od swej ¿ony Mary. Wed³ug zapisanych w nim s³ów kobieta przebywa obecnie w Silent Hill, oczekuj¹c jego przybycia w ich „specjalnym miejscu”. Protagonista nie jest pewien, jak traktowaæ tê informacjê, jako ¿e jego ukochana zmar³a trzy lata temu... mimo to decyduje siê wyruszyæ do miasteczka i j¹ odszukaæ.;8.8;3309;Japonia;Konami;survival horror, przygodowa, akcja
13;Silent Hill: Shattered Memories;Silent Hill;08.12.2008;Ponownie wcielamy siê w Harry’ego Masona szukaj¹cego swojej córki, która zniknê³a w niewyjaœnionych okolicznoœciach podczas wypadku samochodowego. W odró¿nieniu od pierwotnej wersji Silent Hilla wypadek rozgrywa siê jednak bezpoœrednio na ulicach tytu³owego miasteczka. Na pocz¹tku przygody nie pojawia siê tak¿e znana z pierwowzoru policjantka Sybil. Tego typu pomniejszych zmian, zauwa¿alnych przede wszystkim dla zagorza³ych fanów serii, jest w nowej ods³onie mnóstwo. Podczas zabawy przemierzamy opustosza³e ulice tajemniczego miasta i zwiedzamy rozmaite pomieszczenia, napotykaj¹c wiele przera¿aj¹cych istot oraz postaci pobocznych. Czêsto rozwi¹zujemy te¿ mniej lub bardziej skomplikowane ³amig³ówki oraz zagadki. Twórcy przygotowali wiele ciekawych rozwi¹zañ. Przede wszystkim, gra ca³y czas œledzi i analizuje nasze preferencje oraz dzia³ania (przyk³adowo musimy rozwi¹zaæ prosty test osobowoœciowy). Na ich podstawie dobierane s¹ pewne sceny, które ogl¹damy w przysz³oœci. Od decyzji gracza zale¿y wiêc niejako struktura ca³ej fabu³y.;8.7;444;Japonia;Konami;survival horror, przygodowa, akcja
14;Resident Evil Vilage;Resident Evil;07.08.2021;Ethan i jego ¿ona Mia zamieszkali w Rumunii, w miejscu znajduj¹cym siê pod œcis³¹ obserwacj¹ BSAA. Niedawno na œwiecie pojawi³a siê ich córeczka – Rosemary. Para stara siê wieœæ spokojne ¿ycie, jednak prze¿yty w Luizjanie koszmar wci¹¿ nad ni¹ ci¹¿y.;8.3;1193;Japonia;Capcom;survival horror, strzelanka, akcja
15;Resident Evil 2;Resident Evil;25.01.2019;Fabu³a Resident Evil 2 Remake w znacznej mierze pokrywa siê z fabu³¹ pierwowzoru i rozgrywa siê kilka miesiêcy po wydarzeniach, jakie mia³y miejsce w pierwszej ods³onie serii. Epidemia zombie sprawia, ¿e mieszkañcy Raccoon City zaczynaj¹ zmieniaæ siê w krwio¿ercze potwory. W tym samym czasie do miasta przybywa pocz¹tkuj¹cy policjant Leon S. Kennedy oraz m³oda Claire Redfield, która próbuje odnaleŸæ swego brata zaginionego w tym niebezpiecznym miejscu. Tu¿ po tym, jak nasi bohaterowie wspólnie stawiaj¹ czo³a pierwszej fali zombie, na skutek zbiegu okolicznoœci zostaj¹ rozdzieleni, a dalsze wydarzenia obserwujemy z perspektywy wybranego z nich. W zale¿noœci od podjêtej decyzji, fabu³a gry rozwija siê w nieco inny sposób, choæ wszystkie wydarzenia i napotykane po drodze postaci maj¹ œcis³y zwi¹zek z sytuacj¹ w mieœcie. ;8.1;1988;Japonia;Capcom;survival horror, strzelanka, akcja, bijatyka
16;Resident Evil 3;Resident Evil;03.04.2020;Akcja gry Resident Evil 3 rozpoczyna siê w przeddzieñ wydarzeñ maj¹cych miejsce w grze Resident Evil 2, a co za tym idzie – kilka miesiêcy po zakoñczeniu pierwszej czêœci serii. G³ówn¹ bohaterk¹ gry jest Jill Valentine, czyli by³a oficer elitarnego oddzia³u S.T.A.R.S. Protagonistka znalaz³a siê w samym œrodku apokalipsy zombie, wywo³anej w mieœcie Raccoon City przez wirusa T wyprodukowanego w laboratoriach z³owrogiej korporacji Umbrella. Wirus zosta³ uwolniony i zarazi³ niemal wszystkich mieszkañców. Dziewczyna musi mieæ siê na bacznoœci, gdy¿ oprócz hord ¿ywych trupów, jej œladem pod¹¿a przera¿aj¹cy mutant zwany Nemesis, czyli nowa wersja tak zwanej Broni Bioorganicznej (ang. Bio Organic Weapon), w drugiej czêœci serii reprezentowanej przez potê¿nego Tyranta. Na szczêœcie Jill nie jest skazana na samotn¹ przeprawê i mo¿e liczyæ na pomoc najemnika Carlosa Oliveiry, bêd¹cego drug¹ grywaln¹ postaci¹ w opisywanym tytule.;8.5;1199;Japonia;Capcom;survival horror, strzelanka, akcja, bijatyka, przygodowa
17;The Medium;;28.01.2021;Akcja The Medium rozgrywa siê w latach 90. w Krakowie w opuszczonym hotelu Niwa, wzorowanym na rzeczywiœcie istniej¹cym dawnym hotelu Cracovia. G³ówn¹ bohaterk¹ jest Marianne – tytu³owe medium. Bohaterka doœwiadcza wizji ukazuj¹cych jej œmieræ niewinnego dziecka i postanawia rozwi¹zaæ tê tajemnicê.;8.5;1114;Polska;Bloober Team;horror, przygodowa, logiczna
18;The Last of Us: Part II;The Last of Us;19.06.2020;Tytu³ przenosi nas do zniszczonego przez zabójcz¹ epidemiê, postapokaliptycznego œwiata, w którym przetrwanie wymaga wielu poœwiêceñ. Tym razem gra posiada dwie g³ówne bohaterki – Ellie, czyli dziewczynê, która wspiera³a gracza w The Last of Us oraz Abby, now¹ postaæ z frakcji WLF. Motywem przewodnim opowieœci jest pytanie „jak daleko posun¹³byœ siê, by wymierzyæ sprawiedliwoœæ ludziom krzywdz¹cym tych, których kochasz?”.;9.1;5079;USA;Naughty Dog;postapokalipsa, skradanka, strzelanka, przygodowa, fabularna, dramat, survival horror
19;Call of Duty: WWII;Call of Duty;03.11.2017;Akcja Call of Duty: WWII zosta³a osadzona w czasach II wojny œwiatowej. W trakcie fabularnej kampanii gracze mog¹ przeœledziæ losy niewielkiego oddzia³u wchodz¹cego w sk³ad s³ynnej 1 Dywizji Piechoty (ang. Big Red One, czyli Wielka Czerwona Jedynka), w którym s³u¿y „Red” Daniels – m³ody ¿o³nierz z Teksasu. Scenarzyœci k³ad¹ nacisk nie tylko na ukazanie jego relacji z poszczególnymi cz³onkami zespo³u, lecz tak¿e na zaprezentowanie wspó³pracy z innymi ugrupowaniami walcz¹cymi z niemieckimi agresorami. Zgodnie z has³em, ¿e na wojnie nikt nie walczy sam, w toku przygody przychodzi nam wspomagaæ francuski ruch oporu oraz po³¹czyæ si³y z brytyjskimi ¿o³nierzami si³ specjalnych. Na przestrzeni szeregu misji produkcja pozwala graczom wzi¹æ udzia³ nie tylko w kluczowych bitwach zachodniego frontu konfliktu, na czele z l¹dowaniem w Normandii, wyzwoleniem Pary¿a i ofensyw¹ w Ardenach, ale i dotrzeæ do niemieckiego obozu koncentracyjnego.;7.2;1927;USA;Sledgehammer Games;strzelanka, akcja
20;Wolfenstein: The New Order;Wolfenstein;20.05.2014;W nowej ods³onie Wolfensteina wcielamy siê ponownie B.J. Blazkowicza, amerykañskiego bohatera wojennego. Historia gry rozpoczyna siê jeszcze podczas II wojny œwiatowej, ale szybko przenosi siê do lat szeœædziesi¹tych dwudziestego wieku. W tej alternatywnej wersji rzeczywistoœci naziœci wygrali II wojnê œwiatow¹ za pomoc¹ Wunderwaffe (niem. cudowna broñ) i przejêli kontrolê nad ca³¹ Ziemi¹, wprowadzaj¹c tytu³owy nowy porz¹dek. Blazkowicz ponownie chwyta za broñ, by zmierzyæ siê ze swoimi odwiecznymi przeciwnikami.;8.9;5510;Szwecja;MachineGames;strzelanka, przygodowa, akcja
21;Wolfenstein II: The New Colossus;Wolfenstein;27.10.2017;Akcja Wolfenstein II: The New Colossus rozpoczyna siê w 1961 roku, bezpoœrednio po wydarzeniach przedstawionych w poprzedniej czêœci serii, nosz¹cej podtytu³ The New Order. Wybudzony ze œpi¹czki B.J. Blazkowicz i jego przyjaciele trafiaj¹ na teren okupowanych przez nazistów Stanów Zjednoczonych. Z uwagi na terror, jaki Niemcy (z Frau Engel na czele) siej¹ w Ameryce, protagoniœcie nie pozostaje nic innego, jak ponownie chwyciæ za broñ i stan¹æ do walki z agresorem. Na szczêœcie Blazkowicz i jego œwita nie s¹ sami – pomagaj¹ im m.in. Horton oraz Grace, czyli liderzy miejscowych ognisk ruchu oporu.;8.2;1383;Szwecja;MachineGames;strzelanka, przygodowa, akcja
22;Martha Is Dead;;24.02.2022;Akcja gry rozgrywa siê na terenie Toskanii w 1944 roku, podczas nasilenia konfliktu pomiêdzy wojskami niemieckimi a si³ami alianckimi. Wojna jest jednak tylko t³em opowieœci, poniewa¿ g³ówny w¹tek obraca siê wokó³ tajemniczego morderstwa tytu³owej Marthy, córki niemieckiego ¿o³nierza, której zbezczeszczone cia³o zostaje pewnego dnia wy³owione. Wcielamy siê w siostrê-bliŸniaczkê zamordowanej, która, zmagaj¹c siê z traum¹ po utracie bliskiej osoby, próbuje rozwik³aæ zagadkê zbrodni.;6,2;81;W³ochy;LKA;horror, thriller, gore, psychologiczna, dramat
23;Amnesia: Rebirth;Amnesia;20.10.2020;Akcja Amnesia: Rebirth rozgrywa siê na algierskiej pustyni. Nie jest to jednak fabularna kontynuacja gry Amnesia: A Machine for Pigs, lecz nowy tytu³ w tym samym uniwersum. W trzeciej ods³onie serii wcielamy siê w postaæ Tasi Trianon, która nic nie pamiêta ze swojej przesz³oœci i wyrusza w przera¿aj¹c¹, pe³n¹ niebezpieczeñstw przygodê. Aby zajrzeæ w g³¹b swojego umys³u i odpowiedzieæ na nurtuj¹ce pytania o to, kim jest i jak siê znalaz³a w samym centrum pustyni, bohaterka pokonuje liczne przeszkody, mierzy siê ze swoim strachem, przezwyciê¿a ból oraz ucieka i ukrywa siê przed tajemnicz¹ besti¹. Walczy z wewnêtrznymi s³aboœciami i próbuje przetrwaæ. ;7.3;193;Szwecja;Frictional Games;survival horror, przygodowa, logiczna
24;Alan Wake Remastered;Alan Wake;05.10.2021;G³ównym bohaterem gry jest Alan Wake, rozchwytywany autor bestsellerowych powieœci, który w poszukiwaniu inspiracji wybiera siê wraz z ¿on¹ na wakacje do malowniczego miasteczka Bright Falls, le¿¹cego w amerykañskim stanie Waszyngton. Po tajemniczym zaginiêciu ukochanej, które nast¹pi³o podczas wspólnego urlopu, autor wpl¹tuje siê w seriê nadnaturalnych wydarzeñ, które sprawiaj¹, ¿e zaczyna traciæ kontakt ze znan¹ sobie rzeczywistoœci¹. ;5.2;301;Finlandia;Remedy Entertainment;survival horror, strzelanka, przygodowa, akcja
25;The Quarry;The Dark Pictures;10.06.2022;Akcja The Quarry rozgrywa siê w tytu³owym kamienio³omie. Ostatniej nocy obozu letniego dziewiêcioro nastoletnich wychowawców urz¹dza imprezê, chc¹c uczciæ zakoñczenie wakacyjnego wyjazdu. Zabawa zmienia siê w prawdziwy koszmar, kiedy wynaturzeni, agresywni miejscowi rozpoczynaj¹ brutalne polowanie na protagonistów. Dalszy ci¹g opowieœci (a co za tym idzie – równie¿ jej fina³) jest kszta³towany przez nasze wybory. To, jakie relacje po³¹cz¹ bohaterów, w jaki sposób spróbuj¹ poradziæ sobie ze œmiertelnym niebezpieczeñstwem, a przede wszystkim to, komu uda siê prze¿yæ, zale¿y od decyzji podejmowanych przez nas w toku zabawy. ;7.4;460;Wielka Brytania;Supermassive Games;survival horror, interactive film, przygodowa, akcja
26;The Dark Pictures: Man of Medan;The Dark Pictures Anthology;30.08.2019;Historia zaczyna siê, gdy grupa czworga Amerykanów bêd¹cych fanami nurkowania udaje siê na wyprawê w celu zbadania zatopionego samolotu z okresu II wojny œwiatowej. Podczas badania wraku zaczynaj¹ dziaæ siê dziwne rzeczy, a czêstotliwoœæ i si³a tych wydarzeñ wydaj¹ siê rosn¹æ wraz z ka¿dym obiektem wydobytym spod wody. Co gorsza, bohaterom dodatkowych zmartwieñ dostarcza nadchodz¹cy sztorm oraz przybycie tajemniczego statku.;6.0;637;Wielka Brytania;Supermassive Games;survival horror, interactive film, przygodowa
27;The Dark Pictures: Little Hope;The Dark Pictures Anthology;30.10.2020;W The Dark Pictures: Little Hope œledzimy losy czwórki studentów, którzy w towarzystwie swojego wyk³adowcy trafiaj¹ do tytu³owego miasteczka. Miejsce to spowija z³owieszcza mg³a i choæ wydaje siê ono opuszczone, szybko wychodzi na jaw, ¿e opanowa³y je mroczne si³y. Protagoniœci znajduj¹ siê w potrzasku, a szukaj¹c sposobu na ucieczkê, musz¹ stawiæ czo³a przera¿aj¹cym wizjom z XVII-wiecznego polowania na czarownice oraz zmierzyæ siê z koszmarami czyhaj¹cymi na nich w ciemnoœciach. ;7.0;156;Wielka Brytania;Supermassive Games;survival horror, interactive film, przygodowa
28;The Dark Pictures: House of Ashes;The Dark Pictures Anthology;22.10.2021;The Dark Pictures: House of Ashes przenosi nas na Bliski Wschód, a dok³adnie – w rejon przywodz¹cy na myœl afgañski Hindukusz. W trakcie rozgrywki œledzimy losy amerykañskich ¿o³nierzy, którzy badaj¹c staro¿ytne podziemia, obudzili pradawne z³o.;6.5;91;Wielka Brytania;Supermassive Games;survival horror, interactive film, przygodowa, akcja, dramat
29;The Dark Pictures: The Devil in Me;The Dark Pictures Anthology;18.11.2022;Fabu³ê gry The Dark Pictures: The Devil in Me oparto na historii Hermana Webstera Mudgetta – pierwszego amerykañskiego seryjnego mordercy, znanego pod pseudonimem Dr. Henry Howard Holmes. W drugiej po³owie XIX wieku wzniós³ on ekskluzywny hotel, w którym mordowa³ swoich goœci na rozmaite sposoby. Wnêtrze gmachu przypomina³o labirynt, a œciany wielu pomieszczeñ by³y wy³o¿one p³ytami t³umi¹cymi dŸwiêk, co utrudnia³o lub wrêcz uniemo¿liwia³o ujawnienie ca³ego procederu. G³ówni bohaterowie gry to grupa twórców filmów dokumentalnych, która otrzymuje telefon z zaproszeniem do wspó³czesnej repliki „Zamku morderstw” H.H. Holmesa. Po przybyciu na miejsce, protagoniœci odkrywaj¹, ¿e budynek nie jest replik¹, lecz wiern¹ i w pe³ni funkcjonaln¹ imitacj¹. Na domiar z³ego filmowcy s¹ nieustannie obserwowani. Wszystko to sprawia, ¿e pobyt w tym miejscu staje siê dla nich prawdziw¹ walk¹ o przetrwanie, a o tym, kto wyjdzie ca³o z opresji (o ile komukolwiek to siê uda) zdecyduj¹ ju¿ nasze poczynania i dokonywane przez nas wybory.;7.1;46;Wielka Brytania;Supermassive Games;survival horror, interactive film, gore, przygodowa
30;Little Nightmares;Little Nightmares;28.04.2017;W Little Nightmares gracz wciela siê w rolê Six — dziewczynki w ¿ó³tym p³aszczyku przeciwdeszczowym, która w niewyjaœnionych okolicznoœciach trafi³a do kompleksu zwanego Paszcz¹ (The Maw). Zadaniem, jakie na ni¹ czeka, jest ucieczka z tego upiornego miejsca — osi¹gniêcie celu nie jest jednak ³atwe, gdy¿ po drodze bohaterka musi stawiæ czo³a rozmaitym niebezpieczeñstwom, inspirowanym dzieciêcymi koszmarami. ;8.0;701;Szwecja;Tarsier Studios;survival horror, platformowa, przygodowa
